text,hate
He is 9th powerful man in the world dont forget it everyone,1
https://www.facebook.com/events/643528052795898/ …   Please come along. 6 years too many. #closemanusisland #bringthemhere #notodetention #refugeesarewelcome,0
"'I often hear Tories muse, Johnson as PM “will cheer everyone up”. When your party looks like it is going to hell in a handcart, they reckon you might as well hurtle towards the inferno with a smile on your face' #BorisJohnsonShouldNotBePM https://t.co/h1ubnKw6OU",0
Pankaj Nandeshwar people against whom baba sahab fought whole life to bring honour for oppressed class who were being humiliated for time immemorial by these people today to get the votes of dalits they r showing themselves proponent of baba sahab,1
"Hi Indians 👋  Will Mr. Dhoni today use controversial gloves being a patriot which are banned by ICC ???  If Your Answer is No, than start strike in india and force Modi and BCCI to stop Indian team to Play WC.    #CWC19   #INDvAUS   #DhoniVsICC   #DhoniKeepsTheGlove   #IndiaWithDhoni",1
10 Useful Windows Commands You Should Know...commands that should be useful even if you’re not a command-line person...even windows -just spend 10 minutes every day -learn slowly -and apply -one day you will become the expert of command prompt -----google search.,1
Lol,0
The bike is specially hand crafted for people who work at night,1
"THIS  HIGHLY  EDUCATES  DYNASTY SLAVE  WAS  ACTING  AS  A  ROBOT  OF  THE  ILLITERATE  WHIE SKINNNED LADY  FROM  1994  TILL 2014  MAY  WITHOUT MAKING  A NOISE  AND  SUDDENLY HAS  FOUND  A VOICE???  SUCH  BRIAN-WASHED  HIGHLYE EDUCATED SLAVES  AND  ROBOTS LIKE SASI THAROOR  IS  A  DISGRACE  TO  INDIANS  AND  SADLY  THE  WHITE SKINNED  QUEEN  WAS  DOING BACK-SEAT  DRIVING  AND  LOOTING  BILLIONS  OR  TRILLIONS OF  DOLLARS FOR  TEN YEARS  USING  SERVICES  OF  THOUSANDS OR  LAKHS OF HIGHLY  EDUCATED HUMAN  ROBOTS  AND  SLAVES  LIKE SASI THAROOR, CHIDU,SIBALM MM SINGH, JAURAM,ETC,ETC  AND  WE  MUST BE  ASHAMED  TO  CALL  OURSELVES  LIVING IN  A  DEMOCRACY???  WHAT A   FARCE!",1
#Clownfacevonfuckstick shows us everyday why #fucktrump  #johnmccainday and other similar hashtags are trending. #orangetreasonweasel #despotus #fakepresident #shitgibbon,0
Sundar Kumar Kumar is a sanghi and speaking like a terrorist....,1
"ANOTHER DAY VOLUNTEERING AT THE VENICE MEDICAL SCHOOL. EVERYONE KEEPS ASKING ME IF THEY CAN FUCK THE LEECHES. BUDDY, THEY WONT EVEN LET ME FUCK THEM",1
"The ACB had filed charge sheet on December 21, 2016 on a complaint by former DCW chief Barkha Shukla Singh",0
"We never needed Lok Pal. We just needed a party that can build Ram Mandir to cure cancer, child labour, poverty, climate change etc... and much more. :P",1
"Anuj any idea about sterlite technologies it moved 4 .5% today , can we expect more",0
Vote out Shivsena in the elections soon to be in Maharashtra,1
this is eerily similar to how the Vietnam War started #fucktrump https://t.co/3qn5WDKL9Y,0
RE Is old-school and high on maintenance and cost for and Indian company,0
"Ask chutyia Modi and those gandoo,s who were worshipping Trumph,s photos.even gandoo media like Zeenews times now were happy over his victory.",1
where can the collapse of nifty end? any idea sir/madam,0
Benami transactions act should be implemented from 1 January only........surgical strike on gold should be done,1
"One doctor in coma ,another lost his vision ,petrol bombs &amp; acid bottles hurled at doctor hostels, rape threats by religious fanatic groups to female doctors and police taking no action coz CM is against the doctors .Why the @PMOIndia @HMOIndia is so helpless ? #DoctorsFightBack",0
#DoctorsFightBack MB shouldn't be allowed to meet the injured doctor till all the attackers are arrested.,0
#ShameOnICC  Right now I can that IPL has more trp than icc world cup.    Icc became as useless as siddhu in politics.    agree hit like👍,0
"one more chance to akali nt face on badal , but the facce off modi modi",0
So petty,0
iBELL IBL E240 BT 2.1 Channel Multimedia Speakers    @ Rs.1920 (mrp-2730)    https://t.co/DOFiFnZG5Z    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0
"All doctors are on Strike ...   Thats only for a common family ...   I want to ask on Stike doctors ..   If a rich man, leaders even #MamtaBanarji will be sick in this situation ...  will they stay on strike ......  No and never ....      #DoctorStrike #DoctorsFightBack #DoctorsProtest https://t.co/PKi39vlDr1",0
"Central Government working is far better than state government , why don't we empower state distribution companies ?",0
"What about everyday married programme playing loud speaker,On Diwali burning cracker lots of noise pollution in cities sleepless night. soni nigam do something",1
"Jude we elect our representative. Average turnout %for voting.
Later we blame the corruption",1
Yes against your version of secularism.,1
Once or twice or thrice a month or even a  year is bearable hence ok. But to wake up every single day of your life by the noise blaring out of loudspeakers is sure to piss off anybody.,1
He is Rajput  DNA  👍    just wait and see bro . He know  how to handle  state.  💜,0
Need to improve the market outlook analysis.... How fast you people turn bullish and bearish....!!!  A 100 point rally in nifty or a correction would change your whole perspective.... Pls be a little more responsible in this.... I don't find except SPT no one else worth listening in your analysts panel....!!!!,1
Remember 1971 kid!!!!bloody impotent army that indulges in macabre beheading like terrorists,1
"--HDFC profit------>investors --->buy your mansion, private jet,horses, vacation homes, a 170-foot yacht our keki mistry have revealed the history--dividenends payed for performing assets and non performing assets -not revealed -mystry?",0
Very good--,0
"@ViratKo91094872 Indians do not have any connection with the logic in any way. #DhoniKeepsTheGlove is a useless campaign. Better sense should prevail. Its a cricket game, play it with sportsmanship and dont try to be Chaudhary of cricket.  Adivce from Pakistan",0
@Braddock512 @EA ugh. Block. #douchebag,1
@JustinTrudeau And you throw away millions of our tax dollars EACH DAY !   And lately to kill babies in the womb worldwide.  #Murderer.,0
Do you like icecream?,1
PeOplE WhO COmMiTtEd HeNiOuS CrImeS CaNnOT Be CaLlEd MuSlimS.  Lol  Mohammed asked his army to take women as sex slaves and killed hundreds of Jews in one day. I'm pretty sure he is called a Muslim.,1
"Love him. But one thing is clear, Leftists and AAPTARDS want only their representatives to speak. EVERY ONE ELSE MUST KEEP pin drop silence",1
राष्ट्रपति चुन होने दो यारो   पाक हो या कश्मिरी पत्थर बाज इनी नानी,1
"*PURE DESH ME AFRA TAFRI KA MAHOOL HAI...INDIA KI 98% JANTA GARIB HAI..YE MAAR ASLI 98% PE MARI HAI MODI JI NE..YE ACHA NHI KIYA BJP NE PURA VYAPARI VARG ROO RAHA HAI KHUN KE AANSU BJP WE SHAME ON YOU*

*B.J.P..*❌❌❌❌❌❌❌
*MODI..*❌❌❌❌❌❌❌

*WE REALY SHAME ON YOU MODI JI..*",0
People needs some incubment  from younger  generation instead old ornamental spineless to  the coveted post.modi should show some body miracle  rather old practice.,1
Is it Leone or the  Ad company making the  advert that is at fault?,1
@TheRealOJ32 #Murderer cold blooded killer,0
Kumar Mangalam Birla of Aditya Birla Group speaks about why #MakeInIndia makes sense in the current times and how the Government can make it easier for companies to Make In India.,0
Not surprised! Perhaps u did not hear d news of launching of cow -ambulance service in UP recently. No ambulance service for poor n needy but focus is on cow.Ridiculous!,1
Modi ji .you ask to RBI how  much currency disti,1
Hi Nigel and sharmila can BEL reach 1600 before split on 27,0
The world cup 2019 winner is....RAIN!!!!!  #ShameOnICC #icc #CWC19 #RainStopsMatch https://t.co/bWzyycM6iS,0
@TMZ Little girl  @andycohen   crying because he couldn't be in a parade. Such a hypocrite bought a kid for a doll...  #douchebag,1
@realDonaldTrump Because you knew NO ONE supported this stupid idea! #derangeddonald #billiondollarloser #trumpiscompromised #idiottrump,1
'WE THE PEOPLE'                   👀  ⬇⬇⬇⬇⬇⬇⬇⬇   #HongKongProtest                   💪  ⬇⬇⬇⬇⬇⬇⬇⬇  #TheResistance  #ResistersForum  #PeoplesMarch                   ✊  ⬇⬇⬇⬇⬇⬇⬇⬇  #trumpCrimeFamily  #trumpIsACriminal  #trumpIsATraitor   #trumpObstructedJustice  #LiarInChief,0
It is difficult to deal with an army who uses jihadi ISIS tactics.We can't create our own fidayeens because we are a civil modern nation,0
Happy #JohnMcCainDay !     #FuckTrump   #ImpeachTrumpNow https://t.co/ggcFanQCJ5,0
#TeamIndia geared up is okay. What's on the GLOVE?    Are armed forces not allowed to play #cricket with their desired logos?    #DhoniKeepsTheGlove or  #ICC allows only Islamic symbols - does #Pakistan say Islam green and star is commercial logo? Will @bcci take that up? https://t.co/XdeS0RJsSp,1
"RSS is a Only national interest and secularists , other all anti Hindu and anti nation. Instruction coming to CPM  from outside India, and Congress from missionaries , PENARAI VIJAYAN CAN YOU TELL US Y YOUR PART SPLIT 1960.",1
He is the same general who is proposing the increase in number of army welfare schools and youth skill development programs funded and operated by India army,0
"👄 Bot😃 Powered💙 By📞 Prince📀 Fadii

🏨 Just Now Done  😽 India TV
♥ c h α υ δ h r ψ s 🌹 β ο τ τ ε r ♥
🏢 Saturday : 29 - April - 2017
🏨  Like Back♥ India TV
🏥 Comment Late  52 detik :)
 🏪 Auto Comment By   Prince Fadii
 🏯 🔎 Baby-Bot.tk 💡",0
I am not aware of compulsory military training or draft expect during war. in US.,1
"Oh, but ol' Uncle Col just had to STEAL Michael's ESTATE so he could 'save it all for Tiger,' right???    #nonsense #liar #ColinDiamond #thief #murderer? #mafia #FollowTheMoney #MichaelHutchence #Mystify #INXS #TigerLilyHutchence #TigerHutchenceGeldof https://t.co/7Qj4ye0yAU",1
"Last year, Tharoor had sought to introduce a private member's bill seeking decriminalization of homosexuality. However, his bid failed twice in Lok Sabha.",0
I am not a fan of @MamataOfficial but I would give my left nut to see Mamata smack the fuck out of Feku.    #ShakaChhaap,1
"I don't agree with Anna Hazare. After the movement, particularly after AK making party, Anna Hazare's all comment has been against AK. I have never heard him, speaking against central govt  for Lokpal bill which was main purpose of Anna movement. Does AK is Lokpal? Does AK is important then Lokpal? When Anna is silent on Lokpal and vocal against AK, it seems Anna is in pain and anguish of his own failure and speaking against AK only because he is known and easy  accessible to him!! 
I think, Anna comments when a paid media goes out to poke him to speak against AK when some thing like political fight occurs in Delhi between Aap and BJP. Anna should look the political fighting and corruption separately before commenting to media. He should speak about Lokpal only if corruption is the only purpose of his thought and movement....",1
He has been trained from his own Kejriwal :D,1
@AFC_Islington74 And they said Wenger lived in the past and only survived on his past glory... #Dickhead and #Cunts   You'd think during the closed season there would be more time for them to have sex rather then bash ozil/Wenger.,1
"I was at a self check out in a grocery store a few minutes ago. 3 guys behind me are saying; Look at her left hand, she's single. Should we rape her?' This is Trump world, where raping can be discussed at the store. #FuckTrump #ImpeachTrump",1
Now Randia will seek What is the Real Surgical Strike,0
He think without hard work its easy to get degree from harward u can expect any thing from this man,1
"Darius, Boris and a blast from the past | The Independent https://t.co/NIbcwEbj0L  #BorisJohnsonShouldNotBePM",0
Jealous :D .  Baalubali is one of the best picture.,0
great please remove rahul and make this person congress head,0
U study in india and later ok abuses indiaa in kashmir.,1
Omjay shree ganeah I nama Jay Mata ki Jay Sir change the worldwide every one single people life safefull life better life better Job's money or food's but go my way respect my God mom maa share wali vaishno Devi Merry Mata or me God is one bye thanks God by bye by,0
Marketing guy needs a brain washing ...what is he positioning,1
@Jacob_Rees_Mogg @michaelgove @BorisJohnson @DominicRaab   WHAT HAVE YOU DONE?,0
Only surety is that you won't be in the PM's chair in 2022,1
To all those well educated indians talking about the poor people across the country .. my only question is .. how much are these poor people making that they will suffer ? I'm quite sure they aren't making 500 or 1000 bucks a day so how on earth will they save or need the bank to change 4500 bucks everyday ?? Unless they saved cash and now they need to change but how much is it at the first place ? Most of us just want to be keyboard warriors and just need a reason to hate .. this is great step taken by the BJP and it will help everyone in the longer run.,0
Ask smith??? He said india will never gonna win in SA........,0
Will the rate cut have any impact on the real estate sector? Do you see real estate stocks surge tomorrow?,0
Does THIS look like the face of a #rapist and traitor?    #Assange #WikiLeaks #Belmarsh https://t.co/zHTHoMvhnc,1
"friends we have to understand the ground reality, b'coz this will not turn-up in a day or two day protest, only parliament has right amend this procedure.",1
"Our netas will do kadi ninda , they don't have guts to take action, we understand they are not man enough, in next meeting u will see our netas  in saree and bangles",1
He is 9th powerful man in the world dont forget it everyone,1
@HenriettaHumpl1 That's really clever.  Have you ever thought of writing something #dickhead #auspol,1
Are you sure you are a Muslim or you are just fooling people with your false name. But if you really are you are undoubtedly a 'munafiq'. And may you rot in hell.,1
bjp n congress  r chips of the same block..,1
"If @Conservatives MPs end up voting 4 @BorisJohnson despite his avoidance of public debate &amp; present himself, it shows the party is rotten 2 the core; it will show that deals have been made with MPs. People should C #borisjohnson’s incompetence on stage #BorisJohnsonShouldNotBePM",0
they r not activist or student they r agents of foreign funded ngos... who need to put in jail under NSA....,1
Bajaj doing a funeral for their bike cos its crap,1
"It is none but the ""THAN"" advertisement. Is it MAYR,VIMAL, READ & TAYLOR?",0
Somebody ask this fool to keep his mouth shut.Media should ignore him completely,1
People talk about common man suffering all the time.This is the same country where thousands laid their lives for freedom.Cant the common man endure little trouble to stand in queues for the greater good.,1
Keep satisfying your ego by saying IITs are overated,1
#ENTERTAINMENT | #Phillauri collections witness a dip over the week.,0
I don't think I have ever disliked anyone more than I dislike you.    #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease   #AnybodyButTrump2020   #┌∏┐ (•˽•)┌∏┐,1
He is a #kudnapoer and #murderer and @CNN wants to interview his idiot wife to get her sympathy https://t.co/cmMw2DLBxP,1
And then Tucker screamed  'Remember The Alamo'.  #Douchebag https://t.co/LKvfCBRQnU,1
SINDU&SAKSHI we are proud to be an Indian  .,0
CNBC-TV18 Shame on you..  It took you so many days while millions of people were people were protesting against the ban on jallikattu.. And you mentioned 3000 people.. I would suggest you to go to eye doctor immediately...  People were in lakhs...  The entire TamilNadu is protesting..,0
"@realDonaldTrump intends to hijack the 4th of July celebration in DC to turn it into a celebration of himself. We can't stop him from doing that, but there's no reason to support it either. Stay home. Celebrate the 4th with your family, friends, and neighbors. #FuckTrump",0
"Sonu Nigam please get checked by doctor for loss of composure and patience,remember the days when you were new and struggling to make a mark   in the industry, u used to sing rafi saab songs, just no that he was a muslim and you are here today bcoz of him.just remember this and don't get carried away.love you brother.",1
Market is never stable. Due to trade cycles fluctuations occur. They are  never consistent. Fiscal & Monitory regulations are adopted by apex bodies. regularly.,0
Absolutely true,0
"Change Ninda, Forces r being treated v badly, esp Kashmir, Sitting ducks.",1
Rajshree Jena real face haha world know ENDIA face,1
Market  going to blast on 13th 14th  March.. .stay away from short..,0
"Yeah, so, Islam is an idea, not a race.  ...a terrible, hateful, idea and you disgrace yourself in its defense.  Everybody likes the legal immigrants.  Most of them are voting Trump.  :)    Sincerely, some guy, native of some place.",0
@MaxBoot 2 things-about fucking time we strike back and good for Cyber Command leaving our version of Quisling out of the loop. #TrumpIsATraitor #CyberSecurity,1
Joined Google after graduation and in just 10 Years .. leading google as CEO.. Hats off to you Sir..,0
@gainedgod Ex army men &amp; Tory MPs Rory Stewart &amp; Tobias Ellewood shudder at the thought of Boris as Pm in the year of the 75th anniversary of Dday. I wonder why! #whereswally #boris #BorisJohnsonShouldNotBePM #cowardsfollowcowards #absentfathers https://t.co/SqsLMyRO9O,0
"@ToniJarvis15 @JudicialWatch @TomFitton @realDonaldTrump The proof is called “The Mueller Report”. You too can read the redacted version, as a citizen of the United States I felt it was my duty to read. #TrumpIsATraitor",0
Change the headlines u fool.... its millions and not billions,1
"Jio - A change ,aweaome jio ,slap to idea airtel",0
Free Sex Right to Muslim Women with 72 Bachelors pic.twitter.com/Nmr5Ks75vd,0
"Expect to give projects for 15,000 kms by March end: Nitin Gadkari",0
India's response should be simple attack a rangers camp and   mutilate 4 soldiers in return LOL. If you do not have the capability to do that just go and shave somebody instead,1
@chelseahandler I’ve said this elsewhere but oj is absolutely KILLING IT on social media these days. He is ABSOLUTELY SLAYING it. #OJSimpson #murderer,1
@ANI #DoctorsFightBack  #DoctorsProtest  #India  Kindly don't befool doctors by writing letters to CMs. It is a futile eyewash exercise. Immediately pass ordinance to protect medical staff. #IMA must go on indefinite strike in the entire country till an ordinance is passed. #WestBengal,0
hahahahaha brilliant. was wondering why i keep getting wound up,1
"""Surgical Strike"" by Pakistan Army 2 indian soldiers killed.

SnakeEagle Pakistan Defence Command",1
Jio very slow network ... Survey is wrong,1
"Yay, the clown is going to wreck the country. What was his slogan again? fuck business wasn\'t it? Great phrase that.\n\nAm sure he\'s going to make a \'titanic success\' of Brexshit.\n\nAfter all, Tories seem to not have much in the brain department these days. pic.twitter.com/ppcOw5oMe4",1
Dr. Qanta Ahmed: Rep. Omar is a disgrace to Islam |  ,1
I am not modi family parson but I was see villages and city developments so I am support,0
"Lol.. chillax dudes.. we are mallus more than bigoted religious fanatics like u guys.. we eat pork, cow, buffalos, camels and even fish with pride!! Now you can find some non mallus to spread ur ignorance and stupidity!! Savvy? And stay out of our royal state!",1
"Well I'll be damned,  there's now 5000 friends following my tweets.  Amazing.  I wasn't sure it would happen.    Thank you so much. I'm proud to follow each one of you back.    I'll always be the foul mouthed old Liberal Democrat shouting #FuckTrump!     Let's make it 10K    #Resist",0
Dhoni sir never do any thing wrong    So dear ICC plz dont ask him to remove that gloves @msdhoni  #DhoniKeepsTheGlove,1
"We said sir, once I was also a staunch supporter of AAP and AK but all my hopes are dashed now as they are now behaving like any other party.They should understand that ppl of Delhi gave them such a big majority only because they thought AAp is not like other parties.They should introspect after big defeat in Punjab and Goa and change their way of politics.AK should get rid of idiots like sanjay singh,ashutosh,khetan, pandey as these leaders have no credibility nd cant even win mohalla election on their own.They r the ones spoiling AK's mind.AK should take advice only from Kumar Vishwas because he is the only one in this party who is intelligent,sharp,commands respect everywhere.Even BJP scares of targetting Kumar as they know if he starts speaking,no one has capability to counter him.",1
"Pakistan on Monday rejected India's accusation that it killed two soldiers in ""unprovoked"" firing and mutilated their bodies near the Line of Control in Jammu and Kashmi #drama",0
"And this comment is written by the guy who stays in Kerala...
Paid commenter doing his job",1
"Unbelievable! This is worse than the British Raj! 
What makes a Neta..who is ""elected"" by us - the people..to lead us..humiliate any one!!

All Airlines should blacklist. 
Gunda raj should NOT be tolerated.
Doesn't this guy have a family ? Wife? Mother? Kids? 
What do they have to say about his ""behavior""??",1
"There are enough Tory MPs to collapse the government and prevent a no-deal Brexit, Amber Rudd has warned the Conservative leadership candidates. https://t.co/xNj4D3qGay   #BorisJohnsonShouldNotBePM   #StopBrexit",0
"After us, there will be our future generation. And after them there will be their future generation. The human population will survive in the long run.",0
Trump is reportedly in denial about his campaign’s bleak internal polling #Resist #ResistTrump #FuckTrump https://t.co/h8dq6uvG8D,1
Whats should one do with Sun Pharma? Its just going down hill day after day :(,0
Not a big fan of beef...but all these events just wanna make me go and make some smoked beef whatever...and throw it on these people's faces,1
I hate sonu nigam,1
"One more thing in 2005 the Same Mamata Banerjee was opposing These infiltrators, now the 180° Mamata Banerjee appeasing them as Vote Bank  Same thing will happen with BJP too..!!    Amit Shah ki Police Mandir tutane se bacha nahi pai  Mandir banayegi ",1
It should b one same like demonitization... It is rather an informed measure to take the rectification step to avoid mistake,1
"Do not trust UBER DRIVERS ,if loose any thing inthe cab they will never give you back, I have lost my cellphone with in 5mints the driver has switched off the cell, uber  will not give you any replay to your mails.Never trust UBER.",0
"India must release phantom-2 to take revenge, :D in which raw officer Katrina will kill 20 PK soliders :D LOL!!!",1
Join BJP bro thats your right place 🤐😂😂😂😂,1
"I hope Sonu Remembers Shahbaz Ali Sayyed...the boy who helped him when he was in disguise as a Street Beggar! 
I hope that was not Gundagardi but compassion.. Had lot of respect for Sonu Nigham but I pity his illogical and baseless comment that should have no place in a country like India.",1
"I return, interviewed a couple of people on their way out. But while I interviewed the last family, I hear some noise, quite different from ‘Har Har Modi’ or the ‘Modi Modi’ chant across the 7th Avenue. I turn around only to find Rajdeep Sardesai and a senior cameraperson in the middle of a mob trying to calm down a group of approximately 50 people around him.


http://www.naisadak.org/the-rajdeep-sardesai-video-no-one-will-post-on-youtube-or-social-media/",1
If he is slapped by YOGI he may land in hospital.,1
"A way of thinking : it's not a loss it's an aggregate of savings of per capita household income, savings of hospital expense caused due to accidents after drink and drive , savings on every house income that goes to govt which is earned by either the lady of the house or the man which can now be spent on something better, savings on the stress caused due to fights between the wife and husband due to drinking, savings on the physical abuse happening in so many homes, saving the child from watching the trauma caused by the fights between his or her mom dad",1
It's Majority vs Minority Game .... If u don't want game don't play ..As simple as that...,1
Ok Mr....it is not a disaster because you cannot get the internet in the coffee shop #dickhead,1
Jio has added an avergae of 7 customers/per sec in 170 days: Mukesh Ambani,0
"This is nt ur IQ
....
BUT IT UR HATERED TO PARTY...
IN WHICH U R BLIND",1
Anuj plz suggest Can bank nifty increase more in coming days,0
#ShameOnICC u cheated all cricket fans.. cancel this world cup..,1
"The programs Mr. Modi chosen like Make in India, Digital India, Start up India and many more are very much needed programs.. but the sequence of implementation is very dangerous for India...",0
"Go for a *NI only* backstop which majority in NI support, then u can deliver brexit, avoid no deal, and no ties for GB. You secure your position and Tories get reelected. Cross party support for a *NI only* backstop possible to avoid no deal.",0
Tears r in our eyes helpless before busdil nikamee govt no one is there wards martyring  salute,1
"Part time online job without investment 
Most important job for Facebook expert 
Earn 15000-25000/-month 
Open play store 
Install champcash mony free app
Sign up with champcash 
Refer id-9044274
Install 7-8 apps in the champcash and start online work",0
So avoiding unwanted pregnancies and preventing HIV and other sexually transmitted diseases is going against the culture and ethos of India.  What a stupid and reactionary statement.  Being a prude is bad enough but a dangerous prude that's appalling.,1
No you don't. Stop lying. If you genuinely did attach 'huge importance to the Good Friday Agreement' you wouldn't keep going on about the 'undemocratic backstop'.,0
@adamcbest @TheRealOJ32 lol #OJSimpson 'has a little getting even to do'    thankfully knife blades can't penetrate my twitter account    #murderer @TheRealOJ32,1
It Is a very unfortunate incident. Pakistan must avoid behaving in this manner and stop such activities.,0
"Reason might be growing intolerence. After all he is patriotic indian
lol :-D",0
Bhakts were never interested.,1
"Sagar Chavan only I've to worry, it's my state. Excuse me Maharashtran plz",1
"Reading the above report carefully it shows that the age of the mother is 20yrs old and the daughter is 4.. that means she delivered her daughter when she was a tee0er herself... no sane pple do that...one is not eligible at 20 to take care of a small child 24*7 ... it's not the norm of today's world... pple want to be free..enjoy life  and not able to do that builds up frustration in them... and then the outcome is this...I know whatever the frustration and choice she made to be a young mother...does not mean she looses her cool to kick the baby..and in the end kill her... sad.... 

Plz pple these are my thoughts... if u don't agree plz feel free to scroll down
...stay happy...",1
"He'll also continue to make sure kids outside of the womb lose healthcare, food &amp; housing while keeping an eye on those caged kids. #douchebag https://t.co/41EwDN5RVW",0
https://t.co/YC9y4dN5Rs I despise people who defend him for ANY reason more every day! Won't even bother getting started on in how many ways this is psychotic!😡 #FuckTrump,1
And then he went & hid in Stormont for the duration of his visit #johnsonisacoward,0
"Pee drinker talk when you sober, your soldiers apply holidays when war times comes. rapist nation",1
@realDonaldTrump The dishonest Trump crime family objectives is to steal from the US taxpayers. So sad! The true enemy of the people is the GOP for allowing the atrocity known as Benedict Donald to remain in the Oval Office. #PutinsPuppet #TrumpIsATraitor #trumpisaloser,0
"Sub:- Open petition to Supreme Court of India

----During present fraudulent demonetization (in utter violation of all monetary principles which has stopped the current of currency by demanding ID), if the powerful politicians, political & economic commentators, media, academicians etc are not coming forward to protect the basic human rights / interests of gullible and helpless ~ 1.3 Billion Indians, that does not mean that Supreme Court of India should also keep quiet, as mentioned at:-

https://groups.yahoo.com/neo/groups/kashmir-global-network/conversations/messages/50229 

Regards

Email: hemraj_jain@yahoo.com",0
Should the Mp's of India be barred from doing multiple works/business so that they can give proper justice to the people of their Constituency     #ShameOnICC  #WIvsENG,0
#LoveSong For #Bataclan #PrayForParis: Berlin    Take My Breath Away http://ift.tt/oaDnoC   #ParisAttacks,0
"Does Whole India believes Allah is only the true God, That's what is said in the loudspeakers on Azaan .",1
copying American hahahaha...RAPEISTAN is still not on that level.stop dreaming TIOLETISTAN,1
"Mohamed Sakhir Carry on with such fake secular stories. We also read in newspapers and TV channels by way of censoring secular violences and not reporting and debating.If it makes you happy, then nothing more to comment about.",1
And my semi functional one is dying of loneliness  #BorisJohnsonShouldNotBePM #GTTO https://t.co/anTAUP0E81,0
"Ok so the conclusion is: rules should be the same for all teams, we have seen Pakistani players do namaz on the field and English players having some nationalistic logo on their jersey.   #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh",0
Satyam Bora please read that whole article,1
We are proud of you Sir..Hope Army/BSF takes revenge without GOI's permission,0
So what if he's a great singer?,1
@msdhoni registers enormous wicket-keeping world record in South Africa match on wednesday.  #ICCWorldCup2019 #indiavssouthafrica #DhoniKeepsTheGlove     Read more here: https://t.co/VGzcQy6Yse,0
What #India cannot afford is a KITCHRI like verdict in #IndiaElections2019 . Let there be clear mandate for full five years.     @narendramodi,0
#Narendra_Modi Sir please look into Bihar children too.... the need your attention very much. Remember that that Children's family also done vote in your favour... ,0
u should to kill innocent people thn BJP will say u r mentally fit,1
@Arijitk25738833 @cricketworldcup @ICC @ECB_cricket @englandcricket @BCCI Nonsense. Weather predictions now a days has improved such that you can predict fairly well before 15 days. What @icc is doing?? Sleeping or planning for some post match interviews... Shame on those supporting stupid #icc #ShameOnICC,1
Old man needs to retire.,1
Mr.Manmohan Singh - from Flight  mode now to Vibrator mode !,0
After reading comments...aesa lgta h log smjhdar ho gye h...;pta nhi voting ke time yhi log gadhe ku bn jate h,1
"Mamata Banerjee totally lost Plot in dealing with the Doctors. Immediate action could have prevented crisis. But BJP and Bhakts should refrain from commenting on Mamata’s Statements. In similar situation, BJP MOS wanted protesting doctors to become Naxals so that they can be shot ",0
he is mad i dont think so he is businessman,1
Dividing India by false propaganda must become a jailable nonbailable  offense so that people are more careful about what they write or say!,1
"Looks like 11th team(rain) is playing in ICC cricket World Cup 2019,and playing well indeed...#ShameOnICC #ICC",0
"They even refused to meet CM of West Bengal, Mamata Banerjee after she invited for meeting and discussing.    Undoubtedly it's a politically motivated &amp; sponsored protest. Nothing else. #Shame    #DoctorsStrike #DoctorsProtest #DoctorsFightBack #Savethedoctors #SaveBengal",0
As a Muslim;\n\nMy food is my Business\nMy Dress is my Business \nMy Faith is my Business \nMy Marriage is my Business \nMy Prayer is my Business\n\nI don't POKE in your Business. So don't POKE in my Business. Thank you!,1
"Proof is in the pudding!!!! He can talk all he wants, but will see what he does. As I said Proof is in the pudding. Time will tell.",1
#LoveSong For #Bataclan #PrayForParis: Bee Gees    I Started A Joke | http://ift.tt/Pt4IyC     #ParisAttacks,0
Kejriwal is like that mosquito who just irritates fuck out of you but at large little chances of being dangerous. Mamata is rattlesnake. Pure venom.,1
And some still desperately  wants to prove their hate for Modi !,0
Media we want to see the first part as well before people start judging who is right n wrong,1
I salute for Indian armi hum Modi hi ke nahi apkey sath hai,0
#TrumpIsNotTheMessiah #TrumpIsACriminal #TrumpIsANationalSecurityThreat #TrumpIsAFraud #TrumpIsATraitor #TrumpIsAMoron     The Belief That Trump Is a Messiah Is Rampant and Dangerous | Psychology Today https://t.co/teXC8y1agk,1
Does Saudi allow to do Hindus rituals? So does India?,1
It’s sad that what bothers me most in this tweet is the wasting of characters to spell out USA. I’m only slightly triggered by the capitalization of “the”. Only slightly. #StupidestPresidentIsTrump #IdiotTrump #MakeAmericaSmartAgain https://t.co/wCAr6WEyy8,0
"rajdeep enterprises , rajdeep ltd , raj deep foundation , rajdeep public limited  ....so rajdeep you want to see this ......tell you one thing you are not even fit to sell samosa .................lease this comment for 30 years",0
"@BCCI Wts the stupid logic of sharing a point each by the teams which could not play match due to rain...? Stupendously idiotic. it is unfair @ICC  change ur rules ,get reserved days to play matches which couldn't have played due to rain .it only helps the fortunate!#ShameOnICC",1
Porkistan go home have more intercourse & produce more Terrorists on border.Indian army is waiting their to send them to jannat Allah tooh akbar,1
Its like duke 390 why they took so much time to launch it.  Just give a name & changing some out look & reduce price ????,0
